ID,Category,Date,Quantity,Priority,Location,Details,Status
663,Pre-order,10/3/2025,41,High,"Carlaview, GA",Book (SKU: 7298bdbc),Shipped
664,Delivery Position,6/1/2025,49,Medium,"Mackenziehaven, OK","From Gonzalez Ltd to 661 Payne Dale Apt. 285
Troybury, GU 48835",Completed
665,Delivery Position,5/25/2025,57,Low,"North Jonathanberg, WA","From King Group to 99223 Hampton Knoll
North Carlland, OK 60856",Completed
666,Delivery Position,4/25/2026,49,High,"Sandrabury, RI","From Reyes PLC to 1212 Jessica Spring Apt. 733
Lake Ashley, KS 65907",Completed
667,Delivery Position,11/18/2025,53,Low,"Richardport, FM","From Green-Hahn to 827 Tamara Radial
Nicholasfurt, IN 96118",Completed
668,Delivery Position,12/20/2025,57,High,"Westtown, PW","From Carson, Olson and Brooks to PSC 1422, Box 9028
APO AA 77445",Completed
669,Delivery Position,11/21/2024,52,Low,"Matthewchester, MI","From Buchanan Ltd to 75794 Mark Radial Suite 433
Stephaniemouth, CA 70391",Completed
670,Delivery Position,9/25/2025,54,Medium,"South Paulchester, MD","From Pierce-Odonnell to 5963 Kane Plaza Apt. 000
Lake Heidi, AL 19101",In Transit
671,Delivery Position,4/14/2025,40,Low,"Port Meganburgh, OH","From Golden, Underwood and Flores to USNS Lopez
FPO AP 10330",In Transit
672,Corporate Event,8/2/2024,450,Medium,"Wilsonview, DC","Conference by Gutierrez, Hill and Washington",Completed
673,Delivery Position,4/9/2025,32,Medium,"East Barrystad, RI","From Hinton Group to 4951 Wheeler Haven
Deannafurt, MH 03433",Completed
674,Pre-order,12/19/2025,60,High,"Burkeland, IA",Sneakers (SKU: 48dd988e),Pending
675,Delivery Position,3/6/2025,67,High,"Stephenville, PW","From Wolf LLC to 048 Michelle Alley Apt. 500
Lake Jeffrey, VA 41652",Completed
676,Corporate Event,11/9/2024,500,Low,"Port Christopher, NV",Team Building by Rodriguez and Sons,Completed
677,Delivery Position,6/27/2024,51,Low,"Lake Kimberly, NE","From Rodriguez PLC to 3624 Hamilton Crossing Suite 396
East Joseph, MS 44300",Completed
678,Delivery Position,4/28/2026,46,Low,"Dominguezfort, IN","From Jenkins and Sons to 1158 John Burgs Apt. 324
Lake Kathryn, AS 37230",Completed
679,Corporate Event,9/20/2024,610,Medium,"Lake Davidburgh, NV",Team Building by Clark Inc,Planned
680,Corporate Event,2/24/2025,570,Low,"New Jessicastad, TN",Shareholder Meeting by Smith-Kidd,Completed
681,Corporate Event,2/15/2026,510,High,"South Steven, CA","Product Launch by Smith, Harris and Robertson",Planned
682,Delivery Position,12/3/2024,53,Medium,"New Christy, MD","From Waller PLC to 453 Farley Shores
Woodhaven, VI 04533",Completed
683,Delivery Position,8/31/2024,47,Medium,"South Kristineton, SD","From Bernard Group to 02431 Catherine Views
Baileymouth, FM 71062",Completed
684,Pre-order,12/22/2025,44,Medium,"New Danielchester, OR",Book (SKU: 2fb00458),Shipped
685,Corporate Event,8/17/2025,510,Medium,"North Madisonview, MI",Shareholder Meeting by Gomez-Perez,Planned
686,Pre-order,1/13/2025,47,High,"Nelsonchester, NY",Furniture (SKU: d0993d5c),Pending
687,Pre-order,12/28/2024,57,Medium,"East Jamesshire, NH",Laptop (SKU: f095be58),Shipped
688,Delivery Position,8/12/2025,52,Low,"Hunterfurt, DE","From Ross, Casey and Hunt to 958 Gregory Harbors
Lake Jessica, TN 53076",In Transit
689,Pre-order,6/28/2025,49,Medium,"West Colinshire, WY",Furniture (SKU: e39177a6),Cancelled
690,Delivery Position,11/26/2025,42,High,"Johnsonhaven, AZ","From Kennedy, Frazier and Pham to Unit 4140 Box 6918
DPO AP 20467",Completed
691,Delivery Position,11/18/2025,51,High,"Andreahaven, TN","From Barr LLC to 0472 Luna Lodge
Michaelberg, TX 21584",In Transit
692,Delivery Position,1/28/2026,47,Medium,"New Samuel, MS","From Rocha-Jenkins to 68281 Latoya Dam
West Michael, MA 33116",Completed
693,Pre-order,7/20/2025,45,Medium,"North Karen, NV",Book (SKU: 948fe635),Pending
694,Delivery Position,7/22/2025,45,Medium,"Elizabethview, NV","From Jenkins-Lee to 721 Marshall Cove Apt. 087
South Christopher, NV 34049",Completed
695,Delivery Position,11/17/2024,56,Medium,"New Marchaven, IL","From Arnold, Hanna and Henderson to 514 Alison Forks Suite 344
Martinezside, FM 22684",In Transit
696,Pre-order,6/2/2024,49,Medium,"Caitlinton, NH",Sneakers (SKU: 9148f2f4),Pending
697,Delivery Position,6/22/2025,47,Medium,"West Margaretburgh, OH","From Cooper-Powell to 56212 Shepherd Meadow Apt. 616
Gomezmouth, MT 59058",Completed
698,Pre-order,2/18/2026,58,Low,"Lake Dennis, SC",Furniture (SKU: 7c9bc033),Pending
699,Delivery Position,7/21/2024,48,Medium,"West Aaron, NM","From Curtis-Fuller to 8900 Heather Corner
East Mark, CT 86177",Completed
700,Delivery Position,12/2/2025,57,Medium,"Alexabury, NY","From Williams Ltd to USNS Brewer
FPO AA 94028",In Transit
701,Pre-order,8/20/2025,53,Low,"South Carolynborough, HI",Book (SKU: 447ec1ed),Pending
702,Delivery Position,2/17/2026,39,High,"North Heidi, MA","From Hunter Ltd to 412 Courtney Groves
East Kylehaven, NJ 48175",Completed
703,Delivery Position,11/5/2025,55,High,"East Erica, ND","From Sanders-Jacobson to 90410 Valenzuela Grove
Port Kristinahaven, KS 49200",Completed
704,Delivery Position,4/4/2025,57,Low,"East Cassandrachester, ME","From Taylor, Brown and Mack to 2746 Marie Parks Apt. 053
New Ericberg, LA 03054",Completed
705,Delivery Position,4/19/2025,67,Medium,"Walterview, LA","From Reed-Williams to 48154 Shepherd Loop
Port Johnton, MH 86212",Completed
706,Corporate Event,12/19/2025,460,Medium,"Dawsonburgh, WY","Team Building by Foster, Ortiz and Santiago",Completed
707,Delivery Position,11/28/2024,47,High,"North Brianstad, SD","From Smith, Garcia and Harper to 0316 Angelica Lodge
New Staceychester, IL 90475",Completed
708,Corporate Event,2/20/2026,570,Medium,"Lisatown, CA",Product Launch by Harris Group,Completed
709,Delivery Position,5/27/2024,51,Medium,"Lake William, WA","From Oliver Inc to 0182 Diaz Drive Suite 268
New Alexandra, IA 48478",Completed
710,Pre-order,7/19/2024,48,High,"Port Stacyside, WI",Laptop (SKU: b703a99c),Pending
711,Pre-order,4/16/2025,59,Medium,"Jeffreyborough, NY",Furniture (SKU: f1768492),Pending
712,Pre-order,7/24/2025,56,Medium,"Potterstad, KS",Furniture (SKU: 1da2f9d3),Cancelled
713,Delivery Position,10/18/2025,63,Medium,"Alyssamouth, VI","From Cain Group to 05509 Daniel Port Suite 354
East Diane, VT 41152",In Transit
714,Delivery Position,12/3/2025,46,High,"West Kevintown, GU","From Fuentes, Gross and Miller to 48917 Derek Shoals
Garciamouth, SC 62496",In Transit
715,Delivery Position,3/22/2026,44,High,"Nelsonbury, MH","From Jackson, Garcia and Williams to 5867 Howell Port Suite 946
Taraberg, FM 81611",Completed
716,Corporate Event,2/27/2025,600,Medium,"Thomashaven, MN",Conference by Bates Group,Completed
717,Corporate Event,7/24/2024,560,High,"Johnshire, FL",Team Building by Roberts-Jackson,Completed
718,Corporate Event,10/18/2024,660,Low,"Barrystad, NE",Product Launch by Bowman-Mcdowell,Completed
719,Delivery Position,1/9/2025,48,High,"East Meganberg, MH","From Miller, Parks and Sosa to 386 Hill Fields
East Sabrinaside, ID 83504",Failed
720,Pre-order,1/1/2025,57,Medium,"Lake Leslietown, AR",Furniture (SKU: f06cd2e9),Shipped
721,Corporate Event,6/13/2024,490,High,"West Jessica, WV",Product Launch by Rivera LLC,Planned
722,Delivery Position,12/10/2025,59,Medium,"Myersstad, IN","From Robertson Group to 0327 Cassandra View
New Johnbury, NC 33512",Completed
723,Delivery Position,5/11/2026,50,Low,"Kaylastad, CA","From Spencer Group to 0824 Karen Mountains
Danielville, ND 84442",In Transit
724,Pre-order,11/1/2024,55,High,"East Dawn, CA",Smartphone (SKU: a171d92f),Cancelled
725,Pre-order,4/2/2025,35,Low,"Alexanderhaven, VI",Laptop (SKU: 41259ed9),Pending
726,Corporate Event,1/30/2025,430,Medium,"Port Norma, IL",Team Building by Norris Inc,Postponed
727,Delivery Position,3/3/2026,52,Low,"Crossland, MP","From Morgan-Tanner to Unit 5552 Box 1604
DPO AE 13608",Completed
728,Pre-order,5/1/2025,42,Medium,"Murraymouth, IA",Laptop (SKU: 20368378),Shipped
729,Delivery Position,8/21/2024,43,Low,"Thomasbury, AK","From Joseph-Curtis to 86221 Ramirez Summit Apt. 427
Port Frances, CA 74941",Completed
730,Delivery Position,9/9/2025,46,Medium,"Kellyfort, NE","From Casey-Hoover to Unit 6998 Box 3995
DPO AE 54228",Delayed
731,Delivery Position,7/28/2025,55,Medium,"Port Rachelbury, NC","From Ramirez-Young to 57146 Alvarez Ports Suite 045
Gonzalezfurt, MN 08727",In Transit
732,Corporate Event,12/14/2025,450,High,"Smithchester, AZ","Shareholder Meeting by Parker, Morris and Cowan",Planned
733,Pre-order,11/2/2025,52,High,"Port Elizabethland, SD",Furniture (SKU: d17e5009),Pending
734,Pre-order,9/20/2024,62,Low,"Julieport, FL",Book (SKU: ec2eef89),Pending
735,Delivery Position,8/1/2024,55,Medium,"Ianville, NM","From Lee, Robinson and Rangel to 4266 Joanne Lodge
Josephborough, ID 52870",Completed
736,Corporate Event,6/16/2024,520,Medium,"New Jenniferland, RI",Shareholder Meeting by Arnold-Phillips,Planned
737,Delivery Position,10/20/2024,47,Low,"Riveraton, TN","From Dominguez, Parker and Price to 291 Nunez Coves Suite 590
Thomasstad, NJ 32456",Completed
738,Corporate Event,2/22/2025,530,Medium,"Port Sandra, NE","Team Building by Martinez, Nelson and Medina",Completed
739,Delivery Position,9/14/2024,56,Low,"New Marcustown, ME","From Brewer-Wiggins to Unit 8165 Box 3874
DPO AE 33861",Completed
740,Delivery Position,7/13/2024,38,Low,"Leeside, SD","From Coleman, Jenkins and White to 8046 Carrie Fort Apt. 830
Williamport, WA 60907",Delayed
741,Delivery Position,3/26/2026,46,Medium,"Sylviamouth, VA","From Erickson and Sons to 8016 Sparks Hollow
Lake Nicole, WI 24821",In Transit
742,Delivery Position,4/14/2026,55,Low,"Oliverville, IN","From Morrow, Barber and Yates to 1783 Lindsey Tunnel Suite 843
Duncanborough, DE 51232",Completed
743,Pre-order,7/11/2024,36,High,"North Taraside, MD",Sneakers (SKU: e08fbe5d),Shipped
744,Pre-order,3/8/2026,66,Medium,"New Lisa, HI",Book (SKU: 091dc808),Pending
745,Delivery Position,1/15/2025,55,Medium,"Kennedyside, WI","From Anderson-Walters to 4730 Leslie Plaza Apt. 057
Lake Andrew, AZ 46635",Completed
746,Corporate Event,10/20/2024,440,Medium,"South Alicia, NV",Product Launch by Lynch-Patton,Planned
747,Delivery Position,4/10/2025,56,Low,"New Craig, IL","From Burke-Hicks to 7236 Solis Meadow Apt. 167
New Christina, MT 35278",In Transit
748,Pre-order,8/24/2024,46,Low,"West Jose, RI",Smartphone (SKU: 979431d6),Pending
749,Corporate Event,11/25/2024,500,Medium,"South Allison, UT","Product Launch by Parker, Morton and Cannon",Planned
750,Pre-order,8/12/2024,38,Medium,"East Christopher, ID",Laptop (SKU: b7c0daec),Pending
751,Delivery Position,11/10/2025,41,Low,"Tammyshire, NC","From Castro, Gutierrez and Wiggins to 4144 John Shores
West Pamela, SC 73680",Completed
752,Corporate Event,3/21/2026,560,Medium,"South Crystal, IL",Conference by Jones-Reyes,Completed
753,Pre-order,12/12/2025,49,Medium,"South Thomaschester, CA",Laptop (SKU: 94c360ab),Pending
754,Delivery Position,6/30/2025,49,Medium,"Younghaven, CT","From Reyes Inc to 198 James Creek Apt. 972
West Jason, ME 96506",Completed
755,Delivery Position,6/23/2025,44,Low,"North Frank, OH","From Wilkins PLC to 967 Lopez Fork Suite 813
New Heathershire, NY 16944",Delayed
756,Pre-order,9/17/2024,46,Medium,"Powellport, MP",Furniture (SKU: 03b4eb81),Pending
757,Pre-order,10/30/2025,53,Low,"Port Justinburgh, AZ",Laptop (SKU: d903bf0c),Pending
758,Pre-order,2/28/2025,47,Low,"Melvinborough, ME",Furniture (SKU: 735bbda4),Pending
759,Corporate Event,7/23/2024,530,Medium,"Mclaughlinside, NM",Team Building by Cunningham and Sons,Completed
760,Pre-order,11/29/2024,54,Medium,"Blairborough, IL",Smartphone (SKU: e9ae17b8),Pending
761,Delivery Position,2/15/2026,45,Low,"North Melaniemouth, NV","From Cervantes-Fuller to 1771 Margaret Mission
Moorebury, DE 11840",Completed
762,Delivery Position,4/21/2025,55,Medium,"Port Douglasbury, GA","From Meyer, Robinson and Beck to 6504 Miller Squares Suite 026
Higginsburgh, NJ 86905",In Transit
763,Delivery Position,7/12/2025,47,Low,"Port Stephenton, HI","From Jones LLC to 831 Angel Place
North Lindahaven, NY 35202",Failed
764,Pre-order,9/26/2025,53,Low,"Leeborough, ME",Smartphone (SKU: bdfdc11a),Pending
765,Delivery Position,8/7/2025,66,Medium,"New Kyle, WA","From Sparks-Jordan to 0833 Brandi Village
New Ricardostad, OR 93879",Completed
766,Pre-order,6/19/2025,44,Low,"Lake Jason, MN",Smartphone (SKU: 14198156),Shipped
767,Pre-order,11/21/2024,55,Low,"Gibsonmouth, GA",Laptop (SKU: c2f1e9b6),Pending
768,Corporate Event,5/26/2024,490,Low,"Lorimouth, MI",Product Launch by Ponce-Taylor,Postponed
769,Delivery Position,5/26/2025,53,Medium,"Randyville, MH","From Peterson-Lambert to 129 Barbara Club
West Xavierberg, LA 79414",In Transit
770,Corporate Event,12/19/2025,500,High,"Port Kenneth, MT",Product Launch by Gonzalez Group,Postponed
771,Delivery Position,9/20/2025,49,Medium,"Jenniferburgh, NC","From Burnett, Nolan and Carter to 21832 Smith Ports
New Brettborough, KY 47540",Completed
772,Corporate Event,1/31/2025,440,Medium,"East Cassieland, AR","Shareholder Meeting by Howard, Rodgers and Ellis",Completed
773,Delivery Position,5/5/2025,40,Medium,"Allenshire, GA","From Simpson-Evans to 7776 Tonya Keys
Port Linda, AL 12919",In Transit
774,Delivery Position,4/6/2025,63,Low,"Millertown, SD","From Reed and Sons to 797 Eric Centers Apt. 426
Alejandrashire, UT 21209",Completed
775,Pre-order,7/6/2024,46,Medium,"Henryside, AS",Laptop (SKU: 4d0c1280),Shipped
776,Delivery Position,11/10/2024,56,Medium,"New Dustinville, AK","From Baker-Henry to Unit 8096 Box 8378
DPO AA 47943",In Transit
777,Delivery Position,7/25/2024,53,High,"Jacksonview, OK","From Adkins-Rangel to 5759 Todd Walks Apt. 342
New Alexandria, PW 87344",Completed
778,Pre-order,10/2/2024,54,Low,"Lake Katelyn, OH",Laptop (SKU: 130e340f),Pending
779,Pre-order,8/26/2024,56,Medium,"Port Christopher, IN",Laptop (SKU: da5180ed),Pending
780,Pre-order,11/10/2024,44,Medium,"Laurenhaven, WY",Sneakers (SKU: b3e62d81),Shipped
781,Pre-order,10/3/2024,56,Medium,"Elizabethmouth, WI",Smartphone (SKU: 6dc614fd),Pending
782,Pre-order,4/5/2025,45,Low,"North Samantha, MD",Book (SKU: 2020e5d9),Pending
783,Delivery Position,9/16/2024,46,Medium,"Reyesside, SC","From Johnson, Baker and Welch to 629 Kimberly Crossing
Jenniferchester, MO 77682",Completed
784,Delivery Position,11/8/2024,37,Medium,"West Willieberg, CO","From Hunter LLC to 1046 John Stravenue Apt. 221
Lake Joshua, IN 62030",Completed
785,Delivery Position,3/1/2025,56,Low,"Jacobfort, AZ","From Blevins Group to 4430 Dickerson Parkway Apt. 272
New Ann, MI 91934",In Transit
786,Corporate Event,8/28/2024,550,Low,"West Gina, MP","Team Building by Richards, Thompson and Thomas",Postponed
787,Pre-order,3/11/2026,64,Low,"Port James, NJ",Sneakers (SKU: 016d8899),Pending
788,Delivery Position,9/21/2024,44,Medium,"South Jaime, UT","From Russell LLC to 1907 Ronnie Mountain
Lake Ricardotown, TX 95989",In Transit
789,Delivery Position,1/6/2025,56,Medium,"Christineberg, NE","From Holden-Vaughn to 055 Andrew Brook Suite 328
Michelleberg, RI 03116",Completed
790,Corporate Event,3/4/2026,510,Low,"Ashleyfurt, FM",Conference by Vega-Robinson,Completed
791,Delivery Position,2/20/2026,48,Medium,"Wangport, WA","From Thompson-Davis to USCGC Rivera
FPO AE 95097",Completed
792,Pre-order,10/13/2024,53,Low,"North Troy, ND",Smartphone (SKU: 6923c769),Pending
793,Pre-order,6/25/2024,46,Medium,"East Diana, OK",Furniture (SKU: eeedc72f),Pending
794,Pre-order,5/22/2024,61,Medium,"Markburgh, WA",Smartphone (SKU: 8dca56aa),Pending
795,Delivery Position,10/9/2025,57,High,"Lake Jamesfort, ND","From Hughes Inc to 55306 Patricia Alley
Davisburgh, WV 02399",Completed
796,Corporate Event,6/19/2024,540,Medium,"North Natalie, KS","Conference by Mccarthy, Holland and Moon",Planned
797,Corporate Event,3/25/2026,550,High,"Samanthashire, NH",Conference by Williams Inc,Postponed
798,Pre-order,8/21/2024,50,High,"Powellborough, PW",Laptop (SKU: 9b837966),Pending
799,Pre-order,6/11/2025,65,Low,"Nicoleburgh, GU",Laptop (SKU: f54fd4ad),Shipped
800,Corporate Event,12/26/2024,590,Medium,"Gutierrezstad, PW",Shareholder Meeting by Hines PLC,Completed
801,Pre-order,10/8/2025,50,Medium,"Floresland, OH",Furniture (SKU: c64b1e2a),Shipped
802,Delivery Position,6/6/2025,47,Low,"Patricktown, CO","From Golden, Kramer and Mays to 42523 Nicholas Trail
Malonetown, CT 95142",In Transit
803,Pre-order,12/24/2024,36,Medium,"East Adrianmouth, AS",Smartphone (SKU: 7b511731),Shipped
804,Pre-order,10/18/2025,64,High,"Port Austinfurt, TX",Laptop (SKU: aae2bcc4),Pending
805,Delivery Position,12/27/2024,57,Low,"Mollyshire, OH","From Smith, Buck and Mason to 3858 Sherri Walk Apt. 216
Morganville, WY 51898",Completed
806,Pre-order,10/12/2024,54,Medium,"Lindaton, PA",Furniture (SKU: debda733),Shipped
807,Corporate Event,1/22/2025,430,Low,"North Scott, MP","Team Building by Williams, Thomas and Ortiz",Postponed
808,Corporate Event,4/26/2026,380,Low,"Smithfort, RI",Team Building by Mueller-Dunn,Completed
809,Delivery Position,9/23/2025,54,Low,"Richardshire, AR","From Woods, Wilson and Schneider to 56804 Alicia Square
Lake Guy, SC 20167",In Transit
810,Delivery Position,8/10/2024,58,Medium,"Reidfort, PR","From Davis-Peters to 527 William Haven Suite 011
Macdonaldborough, VA 28361",Completed
811,Corporate Event,10/6/2024,410,Medium,"Loganshire, MT",Conference by Shaw and Sons,Planned
812,Corporate Event,5/3/2025,470,Medium,"Reynoldsside, MH",Conference by Nelson PLC,Postponed
813,Delivery Position,6/2/2024,51,High,"East Meganshire, RI","From Green, Mendez and Jones to 60133 Jeffrey Stravenue
Jasonhaven, MN 85720",In Transit
814,Corporate Event,1/30/2026,480,Low,"South Thomaschester, SD",Shareholder Meeting by Mcfarland-Holmes,Completed
815,Corporate Event,8/25/2025,470,High,"Port Williamview, WA","Product Launch by Mclaughlin, Bowman and Shaw",Planned
816,Pre-order,7/9/2024,67,Medium,"Lake Melissaville, NY",Furniture (SKU: 96849bad),Pending
817,Pre-order,7/19/2024,48,Low,"Shannonville, VA",Laptop (SKU: b2c5d0c0),Shipped
818,Delivery Position,6/7/2025,65,Medium,"Kennethbury, IA","From Williams PLC to 799 Brown Shores
Phamhaven, HI 47796",Completed
819,Delivery Position,10/25/2025,40,Medium,"Whitebury, KY","From Lyons, Walker and Miller to 692 Graves Mount
West Shanehaven, CT 72687",Completed
820,Delivery Position,3/1/2026,52,Medium,"East Charlesburgh, NH","From Heath-Roberts to 28451 Jennifer Flat Apt. 825
Goodmanside, MO 27633",Completed
821,Corporate Event,12/2/2025,440,Low,"Johnsonbury, MS","Product Launch by Hernandez, Woodard and Washington",Completed
822,Delivery Position,6/1/2025,55,Medium,"East Bethany, GU","From Bates, Johns and Curry to 450 Santana Key Suite 912
Port Christinaland, MH 43077",Completed
823,Delivery Position,9/8/2025,60,Low,"South Johnside, LA","From Jenkins, Ward and Stewart to 4397 Simmons Light Suite 260
West Kathleenport, PR 83093",In Transit
824,Delivery Position,3/28/2025,50,High,"Haleybury, DC","From Harris-Weber to 2622 Diane Ford
Grantshire, MN 18312",In Transit
825,Pre-order,8/8/2024,43,Low,"Anneton, MO",Smartphone (SKU: b875f872),Pending
826,Corporate Event,10/9/2025,430,Low,"Michaelmouth, NV","Conference by Smith, Allen and Orr",Planned
827,Delivery Position,2/13/2025,45,High,"Danielsberg, GU","From Garcia, Grant and Schaefer to 78150 Vickie Prairie Suite 643
Cassidyside, KY 48050",Completed
828,Delivery Position,5/13/2025,43,Medium,"South Brendafort, CA","From Patel, Stewart and Brooks to 87378 Patricia Rest
South Willie, NV 20415",Completed
829,Pre-order,5/10/2025,56,High,"South Valerie, AR",Smartphone (SKU: 1f0f98af),Pending
830,Delivery Position,1/11/2026,51,Low,"Robertbury, AR","From Lewis-Ayala to PSC 7524, Box 5890
APO AA 53269",Completed
831,Delivery Position,11/27/2025,39,Medium,"New Angelaville, NC","From Martin, Elliott and Dickerson to 149 Edwards Squares
Amandaport, MI 27866",Completed
832,Delivery Position,6/26/2024,45,Medium,"Lake Stephanie, PR","From Ross-Stevens to 168 Gonzalez Squares Apt. 061
Ashleyberg, WI 18851",Completed
833,Delivery Position,7/29/2025,40,High,"East Michaelborough, OK","From Hughes Inc to 84239 Ana Loaf Suite 235
Nicholsbury, ME 75815",Completed
834,Delivery Position,5/2/2026,51,Medium,"South Thomas, OK","From Brown, Davis and Edwards to 600 Kelsey Squares
Joannaberg, NM 55548",Completed
835,Delivery Position,3/9/2026,45,High,"Brandiberg, MN","From Collins Ltd to 1916 Darrell Squares Suite 190
Taylorborough, ID 73186",Completed
836,Delivery Position,3/22/2025,49,Medium,"Lake Michael, VT","From Ponce-Carr to 43210 Mindy Overpass
New Codyland, NM 17407",In Transit
837,Corporate Event,6/29/2024,530,Medium,"Kennethview, WV",Product Launch by Harris Group,Planned
838,Delivery Position,3/18/2026,49,Low,"Port Sarah, FM","From Rivera, Nelson and Brooks to 5562 Francisco Station Apt. 036
Jameston, CO 18916",Completed
839,Pre-order,2/22/2026,52,Medium,"Lake Bonnie, NE",Furniture (SKU: 87b41800),Pending
840,Pre-order,8/17/2024,55,Medium,"South Keithside, UT",Sneakers (SKU: 117db493),Pending
841,Delivery Position,11/4/2025,51,Low,"Charlesville, ID","From Pitts, Clark and Munoz to 9341 Riley Way
North Tiffany, NY 55958",Completed
842,Pre-order,5/16/2025,60,Low,"Luistown, SD",Smartphone (SKU: 73718e90),Pending
843,Delivery Position,4/1/2026,52,Low,"Kyleside, NE","From Parker-Hartman to 21617 Jessica Bypass
Jacobburgh, IA 58014",In Transit
844,Corporate Event,1/21/2026,530,Medium,"West Rickeytown, IN",Shareholder Meeting by Henderson-Barnes,Planned
845,Delivery Position,6/3/2024,47,Medium,"New Joseph, OH","From Wagner PLC to 5288 Sara Drives Apt. 648
Davishaven, MA 73194",In Transit
846,Delivery Position,9/12/2024,55,High,"Barbarachester, MP","From Chavez Group to 701 Tracy Mountain Apt. 423
Lake Yesenia, CT 51895",Completed
847,Delivery Position,11/30/2024,49,Low,"Lauramouth, NY","From Melton-English to 256 Ruiz Springs Apt. 344
Robertberg, NJ 84993",Completed
848,Corporate Event,9/17/2025,440,High,"Williamsfort, MI","Conference by Holloway, Montoya and Anthony",Completed
849,Pre-order,10/22/2025,49,Medium,"Victoriatown, AR",Book (SKU: 8e55a789),Pending
850,Pre-order,7/22/2025,58,Medium,"South Amanda, SD",Book (SKU: e8ffbdc9),Pending
851,Delivery Position,11/16/2025,50,Medium,"Cherryfort, AK","From Harris, Brooks and Young to 242 Hailey Curve
South John, WA 35913",Delayed
852,Pre-order,2/4/2026,54,Medium,"Olsonport, AS",Book (SKU: 609ed5e4),Pending
853,Delivery Position,3/10/2026,45,High,"New Jennifer, NM","From Fowler LLC to 6440 Tracy Plains
Kristinside, UT 56079",Delayed
854,Corporate Event,9/5/2024,560,Medium,"Port John, CA","Team Building by Christensen, Lambert and Perry",Completed
855,Delivery Position,12/20/2025,59,Medium,"Jasontown, FL","From Smith Inc to 70781 Rhonda Stravenue
Youngfurt, VT 38037",Delayed
856,Delivery Position,4/21/2026,47,Low,"Riverabury, MT","From White, Yates and Smith to 66176 Russell Highway Suite 476
New Pamela, AS 65374",In Transit
857,Delivery Position,7/24/2025,50,Low,"Lake Victoria, MA","From Jackson-Norton to 57158 Thomas Hill
East Nicholas, NJ 79978",Completed
858,Delivery Position,2/24/2025,50,Low,"New John, NV","From Woods-Williams to 863 Veronica Stream Suite 692
Ruthhaven, HI 31281",In Transit
859,Pre-order,4/12/2025,49,Low,"Lake Jimmyland, AZ",Smartphone (SKU: 0a0ac01f),Pending
860,Delivery Position,8/2/2025,62,Medium,"Carneytown, AL","From Jenkins-Flores to 331 Colleen Trail Suite 434
East Katrinamouth, WA 36878",Completed
861,Pre-order,9/28/2024,38,High,"Laurabury, ME",Sneakers (SKU: 33e15573),Pending
862,Delivery Position,1/8/2026,49,Medium,"Monicamouth, LA","From Hines, Johnson and Wells to 172 Rollins Plains
Erikfurt, AR 27585",Completed
863,Pre-order,12/18/2025,72,Medium,"Shawnfort, DE",Laptop (SKU: 3ce040e2),Pending
864,Delivery Position,6/17/2024,54,Medium,"Schmidtfurt, MN","From Dean-Ross to 9384 Curry Ports
Lake Stephanieberg, NJ 13763",In Transit
865,Delivery Position,8/18/2024,48,Medium,"Oliviafurt, WA","From Manning PLC to 709 Edward Rue
Loveshire, FL 86135",In Transit
866,Pre-order,2/15/2026,52,Medium,"Port Monicachester, UT",Book (SKU: 619a869e),Pending
867,Delivery Position,3/6/2026,45,Medium,"Moorefort, MA","From Stewart, Murphy and Lara to 1872 Howard Green Suite 584
West Christopherland, SD 71573",Delayed
868,Delivery Position,8/28/2024,48,Medium,"Christopherton, HI","From Thomas-Watts to 0745 Marcus Lane Apt. 281
Lewisfurt, OK 72059",Completed
869,Corporate Event,7/23/2024,480,High,"South Ericfort, KS",Conference by Mccarthy Ltd,Completed
870,Corporate Event,4/18/2026,560,Low,"Natashachester, VA",Team Building by Mclaughlin-Ramirez,Planned
871,Delivery Position,9/23/2024,55,High,"Fowlershire, PW","From Simmons-Klein to 29234 David Freeway Apt. 664
East Davidborough, NJ 64018",In Transit
872,Delivery Position,5/30/2024,45,High,"East Jenniferstad, DC","From Fox-Barker to 3943 Brittney Corner Suite 478
West Mariamouth, OK 18262",Completed
873,Pre-order,3/17/2026,51,Medium,"Leshire, MI",Sneakers (SKU: 4059f2fd),Pending
874,Delivery Position,6/22/2024,58,Medium,"East Kimberly, KY","From Poole, Donaldson and Fields to 5372 Anne Flat Apt. 763
Lake Ashley, MT 54015",In Transit
875,Delivery Position,8/12/2025,52,Medium,"East Katrina, DC","From Welch, Sims and Fleming to 910 Michael Mall
Richardview, NE 67506",In Transit
876,Delivery Position,8/17/2024,57,Medium,"Cooperhaven, PA","From Rodriguez, Ross and Reynolds to 961 Monica Highway
Lake Victoria, KY 05556",In Transit
877,Pre-order,4/1/2026,57,Medium,"Larsonmouth, AS",Laptop (SKU: f227bf74),Shipped
878,Pre-order,3/25/2025,58,Medium,"North James, IN",Furniture (SKU: daf266ae),Pending
879,Delivery Position,12/12/2025,42,Low,"Aliciatown, NM","From James-Saunders to 767 Chandler Square
Jenniferhaven, MT 71701",In Transit
880,Delivery Position,11/9/2024,53,Low,"North Samanthatown, OK","From Coleman-Allen to 0357 Nichole Rue Apt. 433
Janetfurt, NY 77089",Completed
